descriptor_id,complaint_type
Consumer Complaint|Tour Bus,Consumer Complaint
Taxi Compliment|Driver Compliment,Taxi Compliment
Bus Stop Shelter Complaint|Broken Glass,Bus Stop Shelter Complaint
Mobile Food Vendor|Food Worker Activity,Mobile Food Vendor
Water Conservation|Illegal Use Of Hose - Private Residence (CCR),Water Conservation
Consumer Complaint|Department Store or Megastore,Consumer Complaint
Traffic Signal Condition|Cable,Traffic Signal Condition
Street Light Condition|Lamppost Wire Exposed,Street Light Condition
LinkNYC|Blocking Sidewalk,LinkNYC
Noise|Noise: Private Carting Noise (NQ1),Noise
Bus Stop Shelter Complaint|Damaged Other,Bus Stop Shelter Complaint
Graffiti|Police Report Not Requested,Graffiti
Sanitation Worker or Vehicle Complaint|Noise,Sanitation Worker or Vehicle Complaint
Hazardous Materials|Chemical Spill/Release (HA1),Hazardous Materials
Dumpster Complaint|Overflowing dumpster,Dumpster Complaint
Plumbing|Plumbing Work - Illegal/No Permit/Standpipe/Sprinkler,Plumbing
Emergency Response Team (ERT)|Lights From Parking Lot Shining On Building,Emergency Response Team (ERT)
General Construction/Plumbing|Failure to Comply with Vacate Order,General Construction/Plumbing
OUTSIDE BUILDING|GUTTER/LEADER,OUTSIDE BUILDING
Street Light Condition|Street Light Cycling,Street Light Condition
Tattooing|Dirty/Inadequate Eqp/Facility,Tattooing
Found Property|Clothing/Glasses,Found Property
Street Sign - Missing|Yield,Street Sign - Missing
Street Sign - Dangling|St Name - Over Intersection,Street Sign - Dangling
Food Establishment|Food Protection,Food Establishment
PLUMBING|SEWER,PLUMBING
Noise - Helicopter|NYPD,Noise - Helicopter
Bus Stop Shelter Complaint|Damaged Bench,Bus Stop Shelter Complaint
Standing Water|Other - Explain Below,Standing Water
"Noise|Noise, Ice Cream Truck (NR4)",Noise
Consumer Complaint|Locksmith,Consumer Complaint
Water Quality|unknown odor/taste in drinking water (QA6),Water Quality
Consumer Complaint|Car Wash,Consumer Complaint
Mobile Food Vendor|Insects / Pests,Mobile Food Vendor
Consumer Complaint|Cell Phone Store,Consumer Complaint
Noise - Helicopter|News Gathering,Noise - Helicopter
Sidewalk Condition|Pedestrian Ramp Defective,Sidewalk Condition
Animal Facility - No Permit|N/A,Animal Facility - No Permit
Illegal Animal Sold|Other,Illegal Animal Sold
Food Establishment|Pet/Animal,Food Establishment
Animal in a Park|Wildlife Sighting,Animal in a Park
Sewer|Defective/Missing Curb Piece (SC4),Sewer
Water System|Excessive Water In Basement (WEFB),Water System
Consumer Complaint|Drug Store or Pharmacy,Consumer Complaint
Outdoor Dining|Street Zone Blocked,Outdoor Dining
"Water Quality|No Sampling Required, Requested Information (QG2)",Water Quality
Sewer|Highway Flooding (SH),Sewer
Sewer|Culvert Blocked/Needs Cleaning (SE),Sewer
Mobile Food Vendor|Food Source/Protection,Mobile Food Vendor
General Construction/Plumbing|Wall/Retaining Wall - Bulging/Cracked,General Construction/Plumbing
Special Projects Inspection Team (SPIT)|Illegal Conversion Of Manufacturing/Industrial Space,Special Projects Inspection Team (SPIT)
Cannabis Retailer|Suspicious Activity,Cannabis Retailer
Sidewalk Condition|Cellar Door Defective,Sidewalk Condition
Non-Emergency Police Matter|Ticket Scalping,Non-Emergency Police Matter
OUTSIDE BUILDING|PAVEMENT,OUTSIDE BUILDING
Consumer Complaint|Movie Theater,Consumer Complaint
Highway Condition|Litter,Highway Condition
"Consumer Complaint|Barber Shop, Beauty Salon, or Nail Salon",Consumer Complaint
Food Establishment|Food Worker Hygiene,Food Establishment
Noise - House of Worship|Banging/Pounding,Noise - House of Worship
Street Sign - Missing|Bus Stop,Street Sign - Missing
Food Establishment|Sewage,Food Establishment
Industrial Waste|Concrete In Catch Basin (IEA),Industrial Waste
Standing Water|Container - Over 5 Gallons,Standing Water
Traffic Signal Condition|Warning Signal,Traffic Signal Condition
Traffic Signal Condition|Controller Cabinet,Traffic Signal Condition
Consumer Complaint|Third-Party Food Delivery Service,Consumer Complaint
Consumer Complaint|Hardware Store,Consumer Complaint
Animal in a Park|Domestic Strays,Animal in a Park
"Water Conservation|Wasting Faucets,Sinks,Flushometer,Urinal,Etc. - Private Residence (CWR)",Water Conservation
Maintenance or Facility|Broken Glass,Maintenance or Facility
Highway Condition|Highway Fence,Highway Condition
Street Sign - Dangling|One Way,Street Sign - Dangling
Bike Rack|Missing,Bike Rack
Street Sign - Damaged|Street Cleaning - ASP,Street Sign - Damaged
Plumbing|Plumbing-Defective/Leaking/Not Maintained,Plumbing
Water Quality|Clear Water With Other Particles (Use Comments) (QEZ),Water Quality
Day Care|Summer Camp,Day Care
Street Sign - Missing|Other/Unknown,Street Sign - Missing
Consumer Complaint|Home Appliance Store,Consumer Complaint
Disorderly Youth|Nuisance/Truant,Disorderly Youth
Industrial Waste|Waterway-Color (IHD),Industrial Waste
Consumer Complaint|Moving Company,Consumer Complaint
Street Sign - Missing|Do Not Enter,Street Sign - Missing
For Hire Vehicle Report|Driver Report - Passenger,For Hire Vehicle Report
Consumer Complaint|Electronics or Appliance Repair,Consumer Complaint
Mobile Food Vendor|Food Temperature,Mobile Food Vendor
Water Quality|Cloudy Or Milky Water (QB1),Water Quality
Standing Water|Building Foundation,Standing Water
Sidewalk Condition|Sidewalk Grating - Missing,Sidewalk Condition
Sanitation Worker or Vehicle Complaint|Unsafe Driving,Sanitation Worker or Vehicle Complaint
"Hazardous Materials|Oil Spill On Street, Large (HQL)",Hazardous Materials
SAFETY|OUTLET COVER,SAFETY
Street Light Condition|Lamppost Base Door/Cover Missing,Street Light Condition
DOOR/WINDOW|DOOR TO DUMBWAITER,DOOR/WINDOW
"Hazardous Materials|Unsafe Chemical, Abandoned (HC2)",Hazardous Materials
Consumer Complaint|Residential Rental Agency,Consumer Complaint
Sewer|RAIN GARDEN DEBRIS (GIRGD),Sewer
Street Sign - Missing|Street Cleaning - ASP,Street Sign - Missing
Highway Condition|High Grass,Highway Condition
General Construction/Plumbing|Construction - Change Grade/Watercourse,General Construction/Plumbing
"Noise|Noise, Other Animals (NR6)",Noise
Indoor Air Quality|Human Feces,Indoor Air Quality
Ferry Complaint|General Complaint,Ferry Complaint
Street Sign - Damaged|Do Not Enter,Street Sign - Damaged
Street Light Condition|Flood Light Lamp Out,Street Light Condition
Traffic Signal Condition|On Messenger,Traffic Signal Condition
Traffic Signal Condition|Door Lock,Traffic Signal Condition
Consumer Complaint|Gas Station Convenience Store,Consumer Complaint
"Water Quality|Cloudy Or Milky, Other (Use Comments) (QBZ)",Water Quality
Lost Property|Jewelry,Lost Property
Beach/Pool/Sauna Complaint|Beach/Pool Water,Beach/Pool/Sauna Complaint
Industrial Waste|Oil Spill Into Basin/Sewer - Small (IABS),Industrial Waste
Food Establishment|Permit/License/Certificate,Food Establishment
Illegal Animal Kept as Pet|Rooster,Illegal Animal Kept as Pet
Sewer|RAIN GARDEN PLANTING (GIRGP),Sewer
Standing Water|Puddle on Roof,Standing Water
Consumer Complaint|Shipping Company,Consumer Complaint
Traffic Signal Condition|Street Light Feed,Traffic Signal Condition
Tobacco or Non-Tobacco Sale|Banned Tobacco Flavors Sold,Tobacco or Non-Tobacco Sale
Consumer Complaint|Travel Agency,Consumer Complaint
Illegal Animal Kept as Pet|Other,Illegal Animal Kept as Pet
Water Conservation|Rooftank Leak Or Overflow (CKO),Water Conservation
Street Light Condition|Lamppost Leaning,Street Light Condition
Standing Water|Puddle on Sidewalk,Standing Water
Highway Condition|Concrete Barrier,Highway Condition
Street Light Condition|Multiple St Lts Dayburning,Street Light Condition
Traffic Signal Condition|Veh Signal Lens,Traffic Signal Condition
Disorderly Youth|Playing in Unsuitable Place,Disorderly Youth
Recycling Basket Complaint|Overflowing,Recycling Basket Complaint
Street Condition|Wear & Tear,Street Condition
Beach/Pool/Sauna Complaint|Safety Equipment/Signs,Beach/Pool/Sauna Complaint
Consumer Complaint|Construction Labor Provider,Consumer Complaint
Violation of Park Rules|Use of Newly Seeded Lawn,Violation of Park Rules
"Water Quality|Taste/Odor, Bitter/Metallic (QA3)",Water Quality
Street Condition|Depression Maintenance,Street Condition
Violation of Park Rules|Removing Flowers/Plants,Violation of Park Rules
Industrial Waste|Wastewater Into Catch Basin (IEB),Industrial Waste
Bike Rack|Damaged/Bent/Loose/Leaning,Bike Rack
Traffic Signal Condition|Push Button,Traffic Signal Condition
Sidewalk Condition|Dumpster - Construction Waste,Sidewalk Condition
Street Sign - Missing|School Crossing,Street Sign - Missing
OUTSIDE BUILDING|PORCH/BALCONY,OUTSIDE BUILDING
"Water Quality|Taste/Odor, Chemical (QA2)",Water Quality
Consumer Complaint|Pest Control Services,Consumer Complaint
Sewer|Catch Basin Grating Missing (SA4),Sewer
Root/Sewer/Sidewalk Condition|Affecting Sewer or Foundation,Root/Sewer/Sidewalk Condition
Food Establishment|Food Preparation Location,Food Establishment
Food Establishment|Food Worker Activity,Food Establishment
Violation of Park Rules|Unauthorized Posting of Signs,Violation of Park Rules
Animal in a Park|Animal Waste,Animal in a Park
Consumer Complaint|Furniture Store,Consumer Complaint
Special Projects Inspection Team (SPIT)|Adult Establishment,Special Projects Inspection Team (SPIT)
Food Establishment|Toxic Chemical/Material,Food Establishment
Standing Water|Container - Under 5 Gallons,Standing Water
Water Conservation|Water Meter Stolen/Missing - Private Residence (CLR),Water Conservation
Street Light Condition|Street Light Lamp Dim,Street Light Condition
Food Establishment|Allergy Information,Food Establishment
Water System|installation of hydrant side post (WHFP),Water System
Food Establishment|Water,Food Establishment
"Hazardous Materials|Oil Spill On Street, Small (HQS)",Hazardous Materials
Highway Condition|Guard Rail - Highway,Highway Condition
Street Sign - Dangling|Yield,Street Sign - Dangling
Food Establishment|Toilet Facility,Food Establishment
"Hazardous Materials|Unsafe Chemical, Storage (HC1)",Hazardous Materials
LinkNYC|WiFi/Internet Not Working/Slow,LinkNYC
Investigations and Discipline (IAD)|Plumbing Work - Unlicensed/Illegal/Improper Work In Progress,Investigations and Discipline (IAD)
Sanitation Worker or Vehicle Complaint|Idling or Blocking Traffic,Sanitation Worker or Vehicle Complaint
Public Toilet|Damaged Other,Public Toilet
Food Establishment|Dishwashing/Utensils,Food Establishment
Found Property|Bag/Wallet,Found Property
Bridge Condition|Graffiti - Bridge,Bridge Condition
Highway Condition|Painted Line/Marking,Highway Condition
Consumer Complaint|Arcade,Consumer Complaint
Sidewalk Condition|Metal Protruding - Sign Stump,Sidewalk Condition
Lost Property|Sports Equipment,Lost Property
Ferry Inquiry|General Inquiry,Ferry Inquiry
OUTSIDE BUILDING|ROOF DOOR/HATCH,OUTSIDE BUILDING
Plant|Plants- Odor Related Problems (PO1),Plant
Street Sign - Damaged|Detour,Street Sign - Damaged
Water System|Hyd Valve Box Cover Missing (WV2),Water System
Leaning Bar|Damaged/Bent/Loose/Leaning,Leaning Bar
Bridge Condition|Pothole,Bridge Condition
General Construction/Plumbing|Deck Inspection,General Construction/Plumbing
Consumer Complaint|Micromobility Device Store,Consumer Complaint
Standing Water|Sewer or Drain,Standing Water
Mold|Loft Building,Mold
E-Scooter|Improperly Parked or Abandoned,E-Scooter
Traffic Signal Condition|Temporary,Traffic Signal Condition
Tattooing|Tattoo Artist Unlicensed,Tattooing
Traffic Signal Condition|Flashing Hazard,Traffic Signal Condition
Traffic Signal Condition|Ped Flasher,Traffic Signal Condition
"Water Quality|Taste/Odor, Sewer (QA5)",Water Quality
Street Light Condition|Glassware Missing,Street Light Condition
Street Light Condition|Fixture/Luminaire Out Of Position,Street Light Condition
Cannabis Retailer|Product Concerns,Cannabis Retailer
Food Establishment|Facility Construction,Food Establishment
General Construction/Plumbing|Landmark Bldg - Illegal Work,General Construction/Plumbing
Traffic Signal Condition|Turn Signal,Traffic Signal Condition
Consumer Complaint|Office Supply or Stationery Store,Consumer Complaint
Pet Sale|Inadequate Care,Pet Sale
Cooling Tower|Unsanitary Condition,Cooling Tower
"Consumer Complaint|Gift, Novelty, or Souvenir Store",Consumer Complaint
Traffic Signal Condition|Ver Mesage Sign RTPI,Traffic Signal Condition
Street Sign - Dangling|Bus Stop,Street Sign - Dangling
Traffic Signal Condition|Wireless,Traffic Signal Condition
Food Establishment|Handwashing,Food Establishment
Oil or Gas Spill|Emergency Personnel Report,Oil or Gas Spill
Highway Sign - Damaged|Other/Unknown,Highway Sign - Damaged
Traffic Signal Condition|Dust Cover,Traffic Signal Condition
Traffic Signal Condition|Door,Traffic Signal Condition
Bus Stop Shelter Complaint|Damaged or Leaking Roof,Bus Stop Shelter Complaint
"Noise|Noise: Boat(Engine,Music,Etc) (NR10)",Noise
Animal-Abuse|In Car,Animal-Abuse
Outdoor Dining|Barrier Condition,Outdoor Dining
Violation of Park Rules|Unauthorized Climbing,Violation of Park Rules
Consumer Complaint|Mobile Food Vendor,Consumer Complaint
Beach/Pool/Sauna Complaint|Beach/Pool/Sauna Unpermitted,Beach/Pool/Sauna Complaint
Street Sign - Damaged|Construction,Street Sign - Damaged
Consumer Complaint|General Vendor,Consumer Complaint
